                          ;PORTAL MARINO PESCADERIA;   
                          ;123;   
                          ;COMPROBATE DE PAGO DE SALARIO;   
EMPLEADO                  ;;luna lunaluna;
C.C.                      ;;9911;
CARGO                     ; ;vendedor
SALARIO BASICO            ;;800000.0;
PERIODO DE PAGO           ;;26.11.2017 a 26.11.2017
FECHA DE PAGO             ;;26.11.2017
CIUDAD                    ;;BOGOTA D.C.
PAGOS                     ;
Salario                   ;;$400000.0;
Horas Extra               ;;$15238;
Dominicales               ;;$53333.333333333336;
Auxilio de transporte     ;;$41570.0;
TOTAL PAGOS               ;; ;$510141;
 ; ; ;
DEDUCCIONES               ;
Descto seguridad salud    ; ;$16000.0;
Descto seguridad pension  ; ;$16000.0;
Descto Dias               ; ;$80000;
Descto Horas              ; ;$7619;
Vale por Almuerzos        ;;$1800.0;
Prestamos                 ;;$9000.0;
TOTAL DEDUCCIONES         ;; ;$-146419;
; ; ;
NETO A PAGAR              ;; ;$ 363722;
; ; ;
; ; ;
Autorizado por:           ;;Recibe conforme:;
; ; ;
__________________________;;_____________________________ ;
YULINA GARCIA; ;luna lunaluna;
