Maria,123456,asdfghjk,31231231
Lola,1234567898765,kjhgfds,123456788
a,1111,as,000,
e,2111,ad,009,
i,3111,af,008,
o,4111,ag,007,
u,5111,ah,006,
a,6111,aj,005,
b,7111,ak,004,
c,8111,al,003,
d,9111,az,002,
e,0111,ax,001,
f,1112,ac,990,
g,21112,av,999,
h,31112,ab,998,
i,41112,an,997,
j,51112,am,996,
k,61112,aq,995,
l,71112,aw,994,
m,81112,ae,993,
n,91112,ar,992,
o,01113,at,991,
p,11113,ay,881,
q,21113,au,882,
r,31113,ai,883,
s,41113,ao,884,
t,51113,ap,885,
u,61113,se,886,
v,71113,stt,887,
w,81113,st,888,
x,91113,si,889,
y,01114,so,880,
z,01114,su,770,
